i,j,v
7,112,1
3,262980,6
3,351,1
6,224,7
3,8316,6
3,187701,13
9,142,1
3,4059,7
6,73,7
2,15789,1
2,189174,6
2,237699,5
3,211301,1
8,165,1
2,24128,1
3,8035,1
3,10737,12
3,198811,80
2,4613,1
3,2163,3
2,548,203
3,1920,1
2,1472,1
3,16277,7
4,253,1
5,8,1
3,8990,6
3,6881,24
2,3842,1
3,17350,1
8,4795,6
9,5774,1
4,739,7
9,17,1
8,382374,6
3,5620,435
3,5432,6
2,190878,1
3,10902,1
3,59,66
3,21852,1
3,6545,13
8,306,6
3,5179,18
3,867,1
3,439,13
2,896,6
3,529,1
9,55,1
3,3995,7
3,309710,1
9,63,1
2,199,1
3,196957,1
9,680,1
3,9913,7
8,7524,18
6,3636,12
2,4128,6
3,14986,6
8,26,1
2,234817,7
3,6843,6
3,11946,7
3,187702,6
9,188,1
2,16090,6
3,7900,12
2,15580,1
2,738,40
8,16970,6
2,18272,28
8,48,6
3,6575,1
3,191626,2
2,1229,58
2,299,21
3,1793,14
3,232646,1
3,208135,12
2,11816,1
3,688,32
5,10362,1
3,1712,1
9,617,1
3,21663,6
3,9055,93
2,706,2
3,2262,2
3,5006,31
6,1537,6
3,1095,93
2,1728,1
3,213737,6
6,888,1
2,9055,4
3,1731,1
2,6545,53
3,2523,25
3,56,470
3,3779,1
9,337,1
3,5840,27
2,8451,14
3,234075,8
3,4863,1
2,191554,4
2,7830,6
3,19161,6
3,4647,1
3,442,127
3,1600,54
2,13486,1
3,1716,1
2,14883,1
3,1179,7
8,1270,6
3,12262,6
2,3992,1
6,159,1
2,166,1
3,16426,12
3,1795,303
2,18908,7
3,811,1
3,3095,108
2,24235,1
2,152,1
9,12051,1
3,10430,41
3,4713,1
3,10799,16
4,7331,12
9,112,1
3,4976,8
3,5947,19
3,5897,7
3,188140,12
2,19613,1
3,401,1
3,13202,6
3,195455,8
2,6860,1
3,768,74
4,880,1
2,20248,1
3,52,5
3,7678,6
3,11951,5
3,11244,1
3,5050,13
3,244445,6
2,8025,12
2,1189,1
3,1520,2
2,222464,3
2,408,1
8,681,6
3,5745,41
3,16189,1
7,426,1
2,2222,1
3,5900,1
3,19570,33
8,312,36
3,16203,1
2,8101,8
7,473,7
3,8173,28
3,10292,12
3,2224,1
6,124,13
9,244,1
4,961,6
2,253203,4
8,8432,6
3,5429,1
9,321,1
3,6090,19
3,244351,6
9,278,1
3,10810,27
2,7396,6
3,195902,1
3,2072,9
3,227062,5
7,71,1
3,973,1
3,1663,7
2,2136,19
9,9230,1
3,13588,7
3,18688,1
3,20147,19
8,283,25
3,20596,73
2,5494,21
3,5991,89
3,19672,12
2,3698,2
8,16963,6
3,194329,6
3,15917,6
6,8439,6
3,232059,1
3,2665,1
2,3112,2
3,7354,6
2,2099,100
3,15766,6
3,5317,19
3,16608,1
9,123,1
3,18733,4
3,458,1
6,1065,1
7,7556,1
2,602,254
3,7551,6
2,643,5
6,6881,6
3,6696,12
3,13387,1
3,8289,13
3,18940,11
2,194358,2
2,2586,14
3,159,76
3,337,1
3,227585,1
3,1593,63
3,198166,6
3,14486,6
2,11500,7
6,94,1
2,19629,16
3,3863,111
2,19473,1
3,4245,1
4,124,44
3,12956,6
3,17265,12
3,3094,1
8,3698,1
2,652,13
2,533,30
9,198,1
3,5653,21
2,14949,19
3,9700,44
3,2234,1
9,27,1
9,10925,1
3,6781,2
3,11680,6
3,211396,1
5,125,1
3,3583,25
2,16214,1
3,1943,1
8,71,1
3,9698,23
3,4417,241
3,204,73
2,16125,8
3,18337,29
3,198397,1
2,233147,1
8,4976,12
5,258,1
3,16148,306
4,98,1
3,569,20
2,6061,13
3,245128,1
2,2123,6
3,4476,1
3,3453,1
9,56,7
3,187744,7
2,7234,1
3,589,70
