i,j,v,date,strategy_id
2,2802,9,2024-09-24,11
2,3306,3,2024-09-24,11
2,3391,9,2024-09-24,11
2,3497,3,2024-09-24,11
2,3609,3,2024-09-24,11
2,3621,69,2024-09-24,11
2,3854,3,2024-09-24,11
2,3860,39,2024-09-24,11
2,3887,21,2024-09-24,11
2,4044,3,2024-09-24,11
2,4085,12,2024-09-24,11
2,4163,3,2024-09-24,11
2,4179,12,2024-09-24,11
2,4269,3,2024-09-24,11
2,4275,3,2024-09-24,11
2,4293,6,2024-09-24,11
2,4294,3,2024-09-24,11
2,4327,15,2024-09-24,11
2,4378,3,2024-09-24,11
2,4407,3,2024-09-24,11
2,4479,15,2024-09-24,11
2,4482,18,2024-09-24,11
2,4513,6,2024-09-24,11
2,4528,5,2024-09-24,11
2,4606,9,2024-09-24,11
2,4612,6,2024-09-24,11
2,4959,15,2024-09-24,11
2,4995,15,2024-09-24,11
2,5016,3,2024-09-24,11
2,5406,12,2024-09-24,11
2,5423,3,2024-09-24,11
2,5494,3,2024-09-24,11
2,5650,27,2024-09-24,11
2,1,12,2024-09-24,11
2,13,12,2024-09-24,11
2,17,60,2024-09-24,11
2,21,42,2024-09-24,11
2,87,12,2024-09-24,11
2,101,12,2024-09-24,11
2,145,12,2024-09-24,11
2,231,12,2024-09-24,11
2,419,12,2024-09-24,11
2,1129,12,2024-09-24,11
2,1287,12,2024-09-24,11
2,1606,18,2024-09-24,11
2,2134,12,2024-09-24,11
2,2417,12,2024-09-24,11
2,3891,12,2024-09-24,11
2,4807,30,2024-09-24,11
2,5179,18,2024-09-24,11
2,5328,12,2024-09-24,11
2,5448,72,2024-09-24,11
2,6131,12,2024-09-24,11
2,6394,12,2024-09-24,11
2,6833,12,2024-09-24,11
2,6841,96,2024-09-24,11
2,7074,24,2024-09-24,11
2,7237,12,2024-09-24,11
2,8379,72,2024-09-24,11
2,9052,48,2024-09-24,11
2,11517,24,2024-09-24,11
2,12031,78,2024-09-24,11
2,13029,35,2024-09-24,11
2,15850,12,2024-09-24,11
2,16085,18,2024-09-24,11
2,16823,12,2024-09-24,11
2,17886,12,2024-09-24,11
2,17979,12,2024-09-24,11
2,18581,12,2024-09-24,11
2,18665,12,2024-09-24,11
2,19129,14,2024-09-24,11
2,20589,12,2024-09-24,11
2,20596,24,2024-09-24,11
2,211734,12,2024-09-24,11
2,235128,48,2024-09-24,11
2,240586,12,2024-09-24,11
2,249349,12,2024-09-24,11
2,280657,12,2024-09-24,11
2,282672,24,2024-09-24,11
2,310928,12,2024-09-24,11
2,364927,12,2024-09-24,11
2,375699,24,2024-09-24,11
2,379520,14,2024-09-24,11
2,389808,12,2024-09-24,11
2,627785,14,2024-09-24,11
2,675806,40,2024-09-24,11
2,710710,14,2024-09-24,11
2,734400,14,2024-09-24,11
2,780900,14,2024-09-24,11
2,788096,12,2024-09-24,11
3,2,96,2024-09-24,11
3,12,12,2024-09-24,11
3,19,24,2024-09-24,11
3,26,24,2024-09-24,11
3,37,24,2024-09-24,11
3,43,12,2024-09-24,11
3,51,12,2024-09-24,11
3,53,84,2024-09-24,11
3,68,48,2024-09-24,11
3,73,12,2024-09-24,11
3,97,12,2024-09-24,11
3,99,24,2024-09-24,11
3,106,12,2024-09-24,11
3,115,12,2024-09-24,11
3,129,24,2024-09-24,11
3,134,12,2024-09-24,11
3,145,12,2024-09-24,11
3,169,36,2024-09-24,11
3,191,12,2024-09-24,11
3,194,48,2024-09-24,11
3,224,12,2024-09-24,11
2,1229,6,2024-09-24,11
2,1575,6,2024-09-24,11
2,2728,6,2024-09-24,11
2,3049,6,2024-09-24,11
2,3346,8,2024-09-24,11
2,3368,6,2024-09-24,11
2,3801,6,2024-09-24,11
2,4129,8,2024-09-24,11
2,4373,6,2024-09-24,11
2,4879,6,2024-09-24,11
2,5851,30,2024-09-24,11
2,5964,6,2024-09-24,11
2,6208,8,2024-09-24,11
2,7143,6,2024-09-24,11
2,7317,6,2024-09-24,11
2,7474,6,2024-09-24,11
2,7933,6,2024-09-24,11
2,7963,6,2024-09-24,11
2,8026,8,2024-09-24,11
2,8447,6,2024-09-24,11
2,9391,6,2024-09-24,11
2,9856,6,2024-09-24,11
2,10677,6,2024-09-24,11
2,11510,6,2024-09-24,11
2,12573,12,2024-09-24,11
2,12923,12,2024-09-24,11
2,13596,12,2024-09-24,11
2,14135,12,2024-09-24,11
2,15126,6,2024-09-24,11
2,16183,6,2024-09-24,11
2,16844,8,2024-09-24,11
2,17316,6,2024-09-24,11
2,18152,18,2024-09-24,11
2,18269,6,2024-09-24,11
2,18272,6,2024-09-24,11
2,18407,6,2024-09-24,11
2,18503,24,2024-09-24,11
2,18655,6,2024-09-24,11
2,19716,12,2024-09-24,11
2,20931,12,2024-09-24,11
2,189394,12,2024-09-24,11
2,190218,6,2024-09-24,11
2,191294,6,2024-09-24,11
2,193799,50,2024-09-24,11
2,194406,6,2024-09-24,11
2,211832,6,2024-09-24,11
2,212364,15,2024-09-24,11
2,139,1,2024-09-24,11
2,155,1,2024-09-24,11
2,1430,1,2024-09-24,11
2,1793,1,2024-09-24,11
2,1841,1,2024-09-24,11
2,3163,1,2024-09-24,11
2,3222,1,2024-09-24,11
2,3249,1,2024-09-24,11
2,3702,1,2024-09-24,11
2,4127,1,2024-09-24,11
2,4282,1,2024-09-24,11
2,4473,1,2024-09-24,11
2,4686,1,2024-09-24,11
2,4871,1,2024-09-24,11
2,5451,1,2024-09-24,11
2,6337,1,2024-09-24,11
2,6589,1,2024-09-24,11
2,7479,1,2024-09-24,11
2,9280,1,2024-09-24,11
2,9749,1,2024-09-24,11
2,10220,1,2024-09-24,11
2,11818,1,2024-09-24,11
2,12256,1,2024-09-24,11
2,12303,1,2024-09-24,11
2,12738,1,2024-09-24,11
2,12991,1,2024-09-24,11
2,15761,1,2024-09-24,11
2,17005,1,2024-09-24,11
2,18559,1,2024-09-24,11
2,18866,1,2024-09-24,11
2,21269,1,2024-09-24,11
2,23881,1,2024-09-24,11
2,188665,1,2024-09-24,11
2,192702,1,2024-09-24,11
2,193851,1,2024-09-24,11
2,194031,1,2024-09-24,11
2,209586,1,2024-09-24,11
2,212342,1,2024-09-24,11
2,215519,1,2024-09-24,11
2,216983,1,2024-09-24,11
2,229623,1,2024-09-24,11
2,235303,1,2024-09-24,11
2,236727,1,2024-09-24,11
2,238315,1,2024-09-24,11
2,244817,1,2024-09-24,11
2,245547,1,2024-09-24,11
2,252180,1,2024-09-24,11
2,252230,1,2024-09-24,11
2,262524,1,2024-09-24,11
2,270415,1,2024-09-24,11
2,279105,1,2024-09-24,11
2,283056,1,2024-09-24,11
2,285999,1,2024-09-24,11
2,289434,1,2024-09-24,11
2,295862,1,2024-09-24,11
2,303267,1,2024-09-24,11
2,317138,1,2024-09-24,11
2,322525,1,2024-09-24,11
2,326251,1,2024-09-24,11
2,335225,1,2024-09-24,11
2,338827,1,2024-09-24,11
2,342680,1,2024-09-24,11
2,344866,1,2024-09-24,11
2,364411,1,2024-09-24,11
2,369892,1,2024-09-24,11
2,371486,1,2024-09-24,11
2,374302,1,2024-09-24,11
2,387472,1,2024-09-24,11
2,394357,1,2024-09-24,11
2,402621,1,2024-09-24,11
2,438144,1,2024-09-24,11
2,467256,1,2024-09-24,11
2,471309,1,2024-09-24,11
2,631451,1,2024-09-24,11
2,758919,1,2024-09-24,11
2,768581,1,2024-09-24,11
2,773499,1,2024-09-24,11
2,784003,1,2024-09-24,11
2,815246,1,2024-09-24,11
2,817269,1,2024-09-24,11
2,820454,1,2024-09-24,11
2,840567,1,2024-09-24,11
